id,name,picture_url,neighbourhood_cleansed,latitude,longitude,room_type,price,number_of_reviews,review_scores_rating
7.96E+17,Peaceful & Spacious Apartment in Maida Vale,https://a0.muscache.com/pictures/prohost-api/Hosting-795767729739702502/original/39114a9c-49ee-48d3-b448-862e5fed32d4.jpeg,Camden,51.5379601,-0.1896898,Entire home/apt,198,3,4
7.96E+17,Large 1 BR flat with garden,https://a0.muscache.com/pictures/miso/Hosting-54234701/original/95b9b21b-e9cc-4468-9d0b-f93dbec92e41.jpeg,Lambeth,51.48209192,-0.119877694,Entire home/apt,142,5,5
7.97E+17,Spacious Brixton flat,https://a0.muscache.com/pictures/miso/Hosting-796844477854934772/original/f0d9184c-cad5-40fd-a21c-212aba824c5f.jpeg,Lambeth,51.45600869,-0.115065953,Entire home/apt,122,22,4.86
7.97E+17,Beautiful 1-bedroom apartment with balcony,https://a0.muscache.com/pictures/miso/Hosting-796859340288879939/original/d1dbd096-bc6a-43dc-b641-27d4ae2f15cf.jpeg,Wandsworth,51.48114786,-0.138127635,Entire home/apt,130,3,5
7.97E+17,Charming Central London Room Awaiting YourArrival!,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6Nzk2ODYyNjM5MjI2Mzg5Mzk3/original/2a2a4ebf-22ef-41c5-9f51-a975a81907f5.jpeg,Southwark,51.50710933,-0.093075,Private room,131,24,4.96
7.96E+17,Quiet and elegant 1st Floor Flat in Chelsea,https://a0.muscache.com/pictures/miso/Hosting-796171925783864034/original/5633a0d5-55f0-4d37-813f-d6b880bd1431.jpeg,Kensington and Chelsea,51.48518919,-0.187304457,Entire home/apt,182,58,4.91
7.97E+17,Spacious and Bright private room,https://a0.muscache.com/pictures/miso/Hosting-796899094493705684/original/e752ac91-fee2-48c3-af7f-98863d14487f.png,Lambeth,51.47637596,-0.11458846,Private room,54,120,4.97
7.97E+17,Cosy new flat in New Malden,https://a0.muscache.com/pictures/miso/Hosting-796913029394143717/original/694cb140-35c1-4c9e-9f29-5c92c259066e.jpeg,Kingston upon Thames,51.40282062,-0.276035536,Entire home/apt,92,11,5
7.97E+17,Contemporary Studio in Kilburn! Sleeps 2!,https://a0.muscache.com/pictures/prohost-api/Hosting-796916650266972935/original/e40e18dc-4ddf-46ae-8400-ee94b081e1ed.jpeg,Brent,51.54193,-0.20264,Entire home/apt,121,3,4.33
7.96E+17,Tower Bridge One Bed Apartment/ Balcony / Parking,https://a0.muscache.com/pictures/6b75249b-1461-4e4d-8c5f-b4d39827e8c5.jpg,Southwark,51.50019531,-0.077996814,Entire home/apt,225,6,5
7.96E+17,Bright room in London Fields,https://a0.muscache.com/pictures/miso/Hosting-796208814272882541/original/b530af14-c0c9-43bb-91f6-98f390a8020d.jpeg,Hackney,51.547045,-0.0633883,Private room,65,4,4.5
7.97E+17,"Picturesque Winter cabin Barnes, London",https://a0.muscache.com/pictures/b6048b22-0e4b-475e-81c9-54e57b575c58.jpg,Richmond upon Thames,51.48496825,-0.242172736,Entire home/apt,169,7,4.71
7.96E+17,Private Room in Modern Apartment,https://a0.muscache.com/pictures/miso/Hosting-796219245488006821/original/d40221a5-345d-4b1d-8c99-7eb087899dbc.jpeg,Bromley,51.41198867,-0.070151836,Private room,98,1,5
